BatchID,Timestamp,Action,FileName,FilePath
20260215_171028,2026-02-15 17:10:28,已新建,2025-G-新高考II卷-13-导数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\导数\2025\2025-G-新高考II卷-13-导数.tex
20260215_171028,2026-02-15 17:10:28,已新建,2025-G-新高考II卷-14-立体几何.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\立体几何\2025\2025-G-新高考II卷-14-立体几何.tex
20260215_171028,2026-02-15 17:10:28,已新建,2025-G-新高考II卷-15-三角函数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\三角函数\2025\2025-G-新高考II卷-15-三角函数.tex
20260215_171028,2026-02-15 17:10:28,已新建,2025-G-新高考II卷-16-圆锥曲线.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\圆锥曲线\2025\2025-G-新高考II卷-16-圆锥曲线.tex
20260215_171028,2026-02-15 17:10:28,已新建,2025-G-新高考II卷-17-立体几何.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\立体几何\2025\2025-G-新高考II卷-17-立体几何.tex
20260215_171028,2026-02-15 17:10:28,已新建,2025-G-新高考II卷-18-导数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\导数\2025\2025-G-新高考II卷-18-导数.tex
20260215_171028,2026-02-15 17:10:28,已新建,2025-G-新高考II卷-19-概率.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\概率\2025\2025-G-新高考II卷-19-概率.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-1-集合.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\集合\2024\2024-G-新高考I卷-1-集合.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-2-复数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\复数\2024\2024-G-新高考I卷-2-复数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-3-向量.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\向量\2024\2024-G-新高考I卷-3-向量.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-4-三角函数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\三角函数\2024\2024-G-新高考I卷-4-三角函数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-5-立体几何.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\立体几何\2024\2024-G-新高考I卷-5-立体几何.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-6-函数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\函数\2024\2024-G-新高考I卷-6-函数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-7-三角函数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\三角函数\2024\2024-G-新高考I卷-7-三角函数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-8-函数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\函数\2024\2024-G-新高考I卷-8-函数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-9-统计.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\统计\2024\2024-G-新高考I卷-9-统计.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-10-导数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\导数\2024\2024-G-新高考I卷-10-导数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-11-圆锥曲线.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\圆锥曲线\2024\2024-G-新高考I卷-11-圆锥曲线.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-12-圆锥曲线.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\圆锥曲线\2024\2024-G-新高考I卷-12-圆锥曲线.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-13-导数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\导数\2024\2024-G-新高考I卷-13-导数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-14-概率.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\概率\2024\2024-G-新高考I卷-14-概率.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-15-解三角形.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\解三角形\2024\2024-G-新高考I卷-15-解三角形.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-16-圆锥曲线.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\圆锥曲线\2024\2024-G-新高考I卷-16-圆锥曲线.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-17-立体几何.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\立体几何\2024\2024-G-新高考I卷-17-立体几何.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-18-导数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\导数\2024\2024-G-新高考I卷-18-导数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考I卷-19-数列.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\数列\2024\2024-G-新高考I卷-19-数列.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-1-复数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\复数\2024\2024-G-新高考II卷-1-复数.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-2-命题与逻辑.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\命题与逻辑\2024\2024-G-新高考II卷-2-命题与逻辑.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-3-向量.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\向量\2024\2024-G-新高考II卷-3-向量.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-4-统计.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\统计\2024\2024-G-新高考II卷-4-统计.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-5-圆锥曲线.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\圆锥曲线\2024\2024-G-新高考II卷-5-圆锥曲线.tex
20260215_175138,2026-02-15 17:51:38,已新建,2024-G-新高考II卷-6-函数.tex,D:\pc\Desktop\Work\000高中数学题库\chapters\函数\2024\2024-G-新高考II卷-6-函数.tex
